MIN_SUPPORT,Precision,Recall,F1 Score,FP-Growth(s),ML Total(s),Aprior(s),FP Count,ML Count,Apriori Candidates,ML Candidates
0.11,1.0000,1.0000,1.0000,0.29,0.24,0.17,14,14,67,54
0.09,1.0000,1.0000,1.0000,0.24,0.22,0.13,19,19,80,65
0.07,1.0000,1.0000,1.0000,0.30,0.22,0.08,27,27,89,72
0.05,1.0000,0.9767,0.9882,0.73,0.26,0.11,43,42,116,94
0.03,1.0000,0.9231,0.9600,1.62,0.37,0.23,78,72,226,176
0.01,1.0000,0.6953,0.8202,5.74,0.54,0.40,338,235,564,310
