antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'475272'}),frozenset({'480165'}),0.020061186619188525,0.03315111088820904,0.010532122975073976,0.525,15.836573373676249,1.0,0.009867072352912202,2.0354713454985074,0.9560342075312136,0.2467685076380729,0.5087133001348687,0.4213502269288956
frozenset({'475272'}),frozenset({'480186'}),0.020061186619188525,0.027634284567932193,0.01033151110888209,0.515,18.636270417422867,1.0,0.009777134569077042,2.0048777637774595,0.9657145753302954,0.276510067114094,0.5012164741076954,0.4444328493647913
frozenset({'477708'}),frozenset({'477645'}),0.022067305281107376,0.02131501078288781,0.015748031496062992,0.7136363636363637,33.48045989304813,1.0,0.015277666646046911,3.4176301210756312,0.9920231088120475,0.5698729582577132,0.7073995825840657,0.7262299465240643
frozenset({'477645'}),frozenset({'477708'}),0.02131501078288781,0.022067305281107376,0.015748031496062992,0.7388235294117647,33.48045989304813,1.0,0.015277666646046911,3.7443368941939577,0.9912605615827669,0.5698729582577132,0.7329300145105481,0.7262299465240643
frozenset({'477267'}),frozenset({'477246'}),0.053713827172877274,0.04960128391594363,0.03239881638998947,0.6031746031746033,12.160463511322966,1.0,0.029734541598175655,2.3950047645318224,0.9698612521339389,0.4568599717114568,0.5824642961846129,0.6281798192819427
frozenset({'477246'}),frozenset({'477267'}),0.04960128391594363,0.053713827172877274,0.03239881638998947,0.6531850353892821,12.160463511322964,1.0,0.029734541598175655,2.728504445848467,0.9656644910429107,0.4568599717114568,0.6334988562978002,0.6281798192819427
frozenset({'477288'}),frozenset({'477267'}),0.03982145543908922,0.053713827172877274,0.023922965043382316,0.6007556675062973,11.184376521389414,1.0,0.021784002268154645,2.3701931268919103,0.9483544154097084,0.34365994236311237,0.5780934521098188,0.5230669093834007
frozenset({'477288'}),frozenset({'477246'}),0.03982145543908922,0.04960128391594363,0.02101409298359998,0.5277078085642317,10.638994939294454,1.0,0.01903889766641962,2.0123108815219752,0.9435809246231031,0.30718475073313783,0.5030588915547344,0.4756840357280208
"frozenset({'477267', '477288'})",frozenset({'477246'}),0.023922965043382316,0.04960128391594363,0.015748031496062992,0.6582809224318659,13.271449254164786,1.0,0.014561421714834991,2.7812281446140794,0.9473128101340061,0.2725694444444445,0.6404466127899194,0.48788666950713616
"frozenset({'477246', '477288'})",frozenset({'477267'}),0.02101409298359998,0.053713827172877274,0.015748031496062992,0.7494033412887827,13.951777051313762,1.0,0.01461928413734713,3.776132442043469,0.948251181215412,0.26700680272108845,0.7351787800486028,0.5212936407657732
frozenset({'457611'}),frozenset({'457590'}),0.03064346256081047,0.04639149405687346,0.01715231455940619,0.5597381342062193,12.065533684257089,1.0,0.015730718548134327,2.1660029633131983,0.946111419726192,0.2864321608040201,0.5383201145439048,0.4647339319679745
frozenset({'475881'}),frozenset({'435204'}),0.02101409298359998,0.052610461908821904,0.012086864938061086,0.5751789976133651,10.93278744843936,1.0,0.010981303799598958,2.2300911037090088,0.9280338072239984,0.19641401792991037,0.5515878260144461,0.4024608048124023
frozenset({'475881'}),frozenset({'469455'}),0.02101409298359998,0.044585987261146494,0.011635488239129344,0.5536992840095465,12.418683941356973,1.0,0.010698554157058008,2.1407404884362546,0.9392128762719051,0.21561338289962823,0.5328719172633253,0.40733333154358087
frozenset({'475881'}),frozenset({'435099'}),0.02101409298359998,0.042178644866843876,0.010732734841265862,0.5107398568019094,12.10896790103837,1.0,0.009846388876111762,1.9576934039063048,0.9371090757622186,0.20458891013384323,0.4891947850441549,0.38259941710487855
frozenset({'1732374'}),frozenset({'1732122'}),0.04935051908320377,0.05587040473444004,0.027333366768644365,0.5538617886178862,9.913330523565559,1.0,0.024576133293611063,2.116226701005264,0.9458015241312717,0.3509336767546684,0.5274608341700947,0.5215448978996073
"frozenset({'1732374', '1787583'})",frozenset({'1732122'}),0.01720246752595416,0.05587040473444004,0.011033652640553688,0.6413994169096209,11.480128342693833,1.0,0.010072543817447568,2.6328166762283494,0.9288718476869119,0.17784963621665317,0.6201786440244851,0.41944297595929875
"frozenset({'1732122', '1787583'})",frozenset({'1732374'}),0.02056271628466824,0.04935051908320377,0.011033652640553688,0.5365853658536585,10.87294269284156,1.0,0.010018871918144663,2.051401511452034,0.9270921101019929,0.1873935264054514,0.5125283888027484,0.38008130081300806
frozenset({'1732143'}),frozenset({'1732206'}),0.02863734389889162,0.03099453332664627,0.01449420733236371,0.5061295971978984,16.32964083904352,1.0,0.013606606222502883,1.9620642605336347,0.9664378799117868,0.32111111111111107,0.49033269698922916,0.48688356882548645
frozenset({'434259'}),frozenset({'316176'}),0.016500325994282562,0.03901900797432168,0.012036711971513115,0.729483282674772,18.695587626288276,1.0,0.011392885619963296,3.5523904087241367,0.9623912119666836,0.27681660899653976,0.7184994088644788,0.518983286581602
frozenset({'456393'}),frozenset({'1787583'}),0.037664877877526454,0.11454937559556648,0.0251767892070816,0.6684420772303595,5.835405682091129,1.0,0.02086230096432768,2.670575979629436,0.8610641860326051,0.1981839715752073,0.625548942390039,0.44411595980607294
frozenset({'464394'}),frozenset({'464352'}),0.032298510456893526,0.04308139826470736,0.016851396760118362,0.5217391304347826,12.110543098648579,1.0,0.015459931767768116,2.000829803628339,0.9480478535026347,0.2879177377892031,0.5002073648710236,0.4564458166725717
frozenset({'470106'}),frozenset({'1787079'}),0.06158784292090877,0.1344601033151111,0.04849791865188826,0.7874592833876222,5.856453059106974,1.0,0.04021681092978803,4.072348632678328,0.8836716115815277,0.32868796736913664,0.754441456221219,0.574072797232789
"frozenset({'435225', '470106'})",frozenset({'1787079'}),0.016249561161542705,0.1344601033151111,0.01449420733236371,0.8919753086419753,6.633754449463761,1.0,0.012309289659757462,8.012426472168682,0.8632837837718645,0.10640648011782032,0.8751938624992667,0.49988545364959636
"frozenset({'470106', '470043'})",frozenset({'1787079'}),0.013340689101760369,0.1344601033151111,0.01113395857364963,0.8345864661654135,6.206945001444304,1.0,0.009340168138732155,5.232582102685919,0.850232838440026,0.08146788990825686,0.8088897641019923,0.4586956948507038
"frozenset({'470106', '1787583'})",frozenset({'1787079'}),0.01298961833592457,0.1344601033151111,0.010732734841265862,0.8262548262548263,6.144981343041768,1.0,0.008986149417793582,4.981662960919694,0.8482844673657017,0.078503301540719,0.7992638185592179,0.453037894291158
"frozenset({'435267', '470106'})",frozenset({'1787079'}),0.012889312402828628,0.1344601033151111,0.01108380560710166,0.8599221789883267,6.395370506097816,1.0,0.00935070732975658,6.178993151333782,0.8546527801087058,0.08133971291866027,0.8381613354298438,0.4711770536866288
"frozenset({'998886', '470106'})",frozenset({'1787079'}),0.014393901399267767,0.1344601033151111,0.011785947138773258,0.8188153310104529,6.0896526986264155,1.0,0.009850541669520192,4.777114429780058,0.8479929496645894,0.08598609586534942,0.7906686107902086,0.4532345957551332
"frozenset({'470106', '487263'})",frozenset({'1787079'}),0.016149255228446763,0.1344601033151111,0.013691759867596168,0.8478260869565217,6.305410051408462,1.0,0.011520329341117118,5.687833606786412,0.8552171520515305,0.09999999999999998,0.8241861367380975,0.4748268815983653
frozenset({'460551'}),frozenset({'1787079'}),0.06008325392446963,0.1344601033151111,0.04393399869602287,0.7312186978297163,5.438183370394148,1.0,0.03585519816583063,3.2202384976040284,0.8682844173117861,0.29170829170829177,0.6894639944389104,0.528981225080468
"frozenset({'1787079', '460551'})",frozenset({'470106'}),0.04393399869602287,0.06158784292090877,0.02302021164551883,0.523972602739726,8.50772778992459,1.0,0.020314411434940765,1.9713406465258605,0.9230113839936996,0.27902735562310027,0.49273099919979674,0.4488755521841953
"frozenset({'470106', '460551'})",frozenset({'1787079'}),0.02597923667184914,0.1344601033151111,0.02302021164551883,0.886100386100386,6.59006176742096,1.0,0.01952704079857427,7.599146889538509,0.8708811823420932,0.16751824817518243,0.8684062810554871,0.5286525802191597
"frozenset({'435225', '460551'})",frozenset({'1787079'}),0.017252620492502133,0.1344601033151111,0.01449420733236371,0.8401162790697674,6.2480710512391235,1.0,0.01217441819848547,5.413558626538212,0.8546963555246333,0.10562865497076021,0.8152786237323034,0.4739559388634924
"frozenset({'470043', '460551'})",frozenset({'435225'}),0.018305832790009528,0.0802447464767541,0.01033151110888209,0.5643835616438356,7.0332773972602745,1.0,0.008862564197601924,2.111387846138269,0.8738146798656033,0.11711199545196134,0.5263778742361327,0.34656678082191783
"frozenset({'435225', '460551'})",frozenset({'470043'}),0.017252620492502133,0.06534931541200661,0.01033151110888209,0.5988372093023255,9.16363401095861,1.0,0.00920406417063392,2.329853880422244,0.9065127075710319,0.14295628036086053,0.5707885338205124,0.3784669546127898
"frozenset({'466137', '460551'})",frozenset({'1787079'}),0.01379206580069211,0.1344601033151111,0.010983499674005718,0.7963636363636364,5.922676070665626,1.0,0.009129017081515846,4.250419135506151,0.8427810968564114,0.08001461454146876,0.7647290847986178,0.43902478722322064
"frozenset({'1787079', '470043'})",frozenset({'460551'}),0.02597923667184914,0.06008325392446963,0.013591453934500225,0.5231660231660231,8.707351699421816,1.0,0.012030536860781621,1.9711614350895736,0.9087635003840898,0.18754325259515575,0.4926848799907868,0.37468818687516514
"frozenset({'470043', '460551'})",frozenset({'1787079'}),0.018305832790009528,0.1344601033151111,0.013591453934500225,0.7424657534246576,5.5218294134778985,1.0,0.011130049766286395,3.3608730030849414,0.8341707898533977,0.09765765765765766,0.702458260373986,0.4217737196813702
"frozenset({'1787583', '460551'})",frozenset({'1787079'}),0.01529665479713125,0.1344601033151111,0.012488088670444857,0.8163934426229509,6.071640750637455,1.0,0.010431298886047,4.7141012230159145,0.8482756532905585,0.09097552064303982,0.7878704862938357,0.45463461761882346
"frozenset({'435267', '460551'})",frozenset({'1787079'}),0.014193289533075882,0.1344601033151111,0.011434876372937459,0.8056537102473498,5.991767746595265,1.0,0.009526445195938791,4.453596195669518,0.845099081392941,0.08333333333333333,0.7754623553495137,0.445348302344861
"frozenset({'998886', '460551'})",frozenset({'1787079'}),0.01449420733236371,0.1344601033151111,0.011585335272581373,0.7993079584775086,5.944573436808296,1.0,0.009636442657201108,4.312776381757462,0.8440126455393632,0.08433734939759036,0.7681308021835117,0.44273491918653496
"frozenset({'487263', '460551'})",frozenset({'1787079'}),0.015798184462610963,0.1344601033151111,0.0129394653693766,0.8190476190476191,6.091380259675672,1.0,0.010815239854342747,4.783246797469125,0.8492502062021824,0.09422936449963476,0.7909369843661189,0.45764018401094125
frozenset({'460509'}),frozenset({'1787079'}),0.04393399869602287,0.1344601033151111,0.03219820452379758,0.732876712328767,5.4505142734514305,1.0,0.02629083452008439,3.2402262798972754,0.8540530390868252,0.22024013722126926,0.6913795785794001,0.48616979965561813
"frozenset({'1787079', '460509'})",frozenset({'470106'}),0.03219820452379758,0.06158784292090877,0.017001855659762276,0.5280373831775701,8.57372751073092,1.0,0.015018837697215336,1.9883188278705497,0.9127536445896264,0.22142390594382758,0.4970625505412629,0.4020480075496971
"frozenset({'470106', '460509'})",frozenset({'1787079'}),0.019208586187873012,0.1344601033151111,0.017001855659762276,0.885117493472585,6.582751847202488,1.0,0.014419067176403655,7.534131373416198,0.8646974636336705,0.12440366972477064,0.8672706977836291,0.5057814248414771
"frozenset({'470631', '460509'})",frozenset({'470106'}),0.021164551883243895,0.06158784292090877,0.011785947138773258,0.5568720379146919,9.041914954381955,1.0,0.01048246804189661,2.1177001619645797,0.9086348071893678,0.16607773851590105,0.5277896191534948,0.3741200580452938
"frozenset({'470106', '460509'})",frozenset({'470631'}),0.019208586187873012,0.05948141832589398,0.011785947138773258,0.6135770234986945,10.315440363862114,1.0,0.010643393188283395,2.4339095728458284,0.9207441368595589,0.17616191904047976,0.589138392339384,0.405861024396902
"frozenset({'470631', '1787079', '470106'})",frozenset({'460509'}),0.021264857816339838,0.04393399869602287,0.010883193740909776,0.5117924528301887,11.64912068148531,1.0,0.00994894350533559,1.9583187659559727,0.9340183788672544,0.20036934441366577,0.48935790363432474,0.37975467390367884
"frozenset({'470631', '1787079', '460509'})",frozenset({'470106'}),0.017352926425598075,0.06158784292090877,0.010883193740909776,0.6271676300578035,10.183302423226827,1.0,0.009814464433991955,2.5169814445687257,0.9177252479666278,0.15991156963890937,0.6026987000012048,0.4019388638888366
"frozenset({'470631', '470106', '460509'})",frozenset({'1787079'}),0.011785947138773258,0.1344601033151111,0.010883193740909776,0.923404255319149,6.867496250208322,1.0,0.009298454070963885,11.300104206719398,0.864576375518971,0.08040014820303815,0.9115052408627021,0.502172101549914
"frozenset({'1787079', '470106', '460509'})",frozenset({'470631'}),0.017001855659762276,0.05948141832589398,0.010883193740909776,0.640117994100295,10.761646445502345,1.0,0.009871899252094987,2.6134081900616555,0.9227661525439669,0.1659021406727829,0.6173578992356307,0.4115429768140598
"frozenset({'470631', '460509'})","frozenset({'1787079', '470106'})",0.021164551883243895,0.04849791865188826,0.010883193740909776,0.514218009478673,10.602888201649701,1.0,0.009856757025372545,1.9587018455068448,0.9252689785508982,0.18515358361774747,0.4894577741405894,0.36931169346736137
"frozenset({'470106', '460509'})","frozenset({'470631', '1787079'})",0.019208586187873012,0.04192788003410402,0.010883193740909776,0.566579634464752,13.51319537271853,1.0,0.010077818443599888,2.2104916984755314,0.9441337319836781,0.21656686626746507,0.5476119631258279,0.41307450622759134
"frozenset({'460509', '460551'})",frozenset({'1787079'}),0.0183559857565575,0.1344601033151111,0.015848337429158935,0.8633879781420766,6.421146175372944,1.0,0.013380189687881506,6.33575204373339,0.8600516599009098,0.11570853167337969,0.8421655403971993,0.490627222938998
"frozenset({'470106', '460509'})",frozenset({'460551'}),0.019208586187873012,0.06008325392446963,0.011184111540197602,0.5822454308093995,9.690644110942085,1.0,0.010029997178741567,2.249925710918301,0.9143714681168579,0.16421207658321063,0.5555408806845215,0.3841945017152173
"frozenset({'460509', '460551'})",frozenset({'470106'}),0.0183559857565575,0.06158784292090877,0.011184111540197602,0.6092896174863388,9.893017657215074,1.0,0.0100536059727643,2.4018101363003312,0.9157276920549701,0.162654996353027,0.5836473562642355,0.39544285434577525
"frozenset({'470631', '460509'})",frozenset({'460551'}),0.021164551883243895,0.06008325392446963,0.011936406038417172,0.5639810426540284,9.386659440299393,1.0,0.010664770893418617,2.155678624151488,0.9127845020264599,0.17221418234442834,0.5361089594727427,0.381322741694293
"frozenset({'460509', '460551'})",frozenset({'470631'}),0.0183559857565575,0.05948141832589398,0.011936406038417172,0.6502732240437159,10.932375897308306,1.0,0.010844565970847224,2.6892953194743976,0.9255173586320034,0.1811263318112633,0.6281553785638379,0.42547388015001986
"frozenset({'1787079', '470106', '460509'})",frozenset({'460551'}),0.017001855659762276,0.06008325392446963,0.010381664075430062,0.6106194690265486,10.16288947656123,1.0,0.009360137264637384,2.4138770978757935,0.9171968352558415,0.15563909774436094,0.5857287013990904,0.3917037244965798
"frozenset({'1787079', '460509', '460551'})",frozenset({'470106'}),0.015848337429158935,0.06158784292090877,0.010381664075430062,0.6550632911392406,10.636243454418011,1.0,0.009405599159285462,2.7205343269448887,0.9205713693459883,0.15482423335826478,0.6324251489511686,0.41181503319177015
"frozenset({'470106', '460551', '460509'})",frozenset({'1787079'}),0.011184111540197602,0.1344601033151111,0.010381664075430062,0.9282511210762333,6.9035431194103,1.0,0.008877847282247366,12.06346231004566,0.8648190782542048,0.07675194660734148,0.917105058705471,0.5027305586731409
"frozenset({'470106', '460509'})","frozenset({'1787079', '460551'})",0.019208586187873012,0.04393399869602287,0.010381664075430062,0.5404699738903395,12.301861654565613,1.0,0.009537754074899606,2.0805299914739956,0.9367042547451985,0.1967680608365019,0.5193532397523726,0.3883856718766766
"frozenset({'460509', '460551'})","frozenset({'1787079', '470106'})",0.0183559857565575,0.04849791865188826,0.010381664075430062,0.5655737704918034,11.661815315238952,1.0,0.009491436971433316,2.190250074046597,0.9313458276226418,0.1838365896980462,0.543431130604895,0.38981894315696686
"frozenset({'470631', '1787079', '460509'})",frozenset({'460551'}),0.017352926425598075,0.06008325392446963,0.010632428908169919,0.6127167630057804,10.197795941212233,1.0,0.00958980862340807,2.4269492100159216,0.917867278359907,0.15915915915915915,0.5879600628340139,0.39483918283844943
"frozenset({'470631', '460509', '460551'})",frozenset({'1787079'}),0.011936406038417172,0.1344601033151111,0.010632428908169919,0.8907563025210085,6.624688517704731,1.0,0.00902745851903323,7.923019054269371,0.8593065384096009,0.07831547838936093,0.8737854859176261,0.48491563727318604
"frozenset({'1787079', '460509', '460551'})",frozenset({'470631'}),0.015848337429158935,0.05948141832589398,0.010632428908169919,0.6708860759493671,11.278918607381476,1.0,0.009689747319776194,2.8577295366251687,0.9260148131909128,0.16434108527131783,0.6500718534823459,0.42481909193758405
"frozenset({'470631', '460509'})","frozenset({'1787079', '460551'})",0.021164551883243895,0.04393399869602287,0.010632428908169919,0.5023696682464455,11.434644766171091,1.0,0.009702585513329573,1.9212373930965634,0.9322777143486906,0.19521178637200737,0.47950211483847643,0.3721894003332684
"frozenset({'460509', '460551'})","frozenset({'470631', '1787079'})",0.0183559857565575,0.04192788003410402,0.010632428908169919,0.5792349726775957,13.815031244280599,1.0,0.009862801339461253,2.276976596802065,0.9449607613105846,0.2141414141414142,0.5608211338647637,0.4164117447120036
"frozenset({'435225', '460509'})",frozenset({'1787079'}),0.012237323837705,0.1344601033151111,0.010080746276142234,0.8237704918032787,6.126504974287792,1.0,0.008435314448623948,4.911435692816577,0.8471415453830115,0.07378854625550658,0.7963935471123869,0.4493712585834745
"frozenset({'470631', '460509'})",frozenset({'1787079'}),0.021164551883243895,0.1344601033151111,0.017352926425598075,0.8199052132701422,6.097758316819606,1.0,0.014507138592759072,4.806024163171357,0.8540815610283135,0.1254987305041712,0.7919278043454263,0.47448076776897635
"frozenset({'1787079', '460509'})",frozenset({'470631'}),0.03219820452379758,0.05948141832589398,0.017352926425598075,0.5389408099688474,9.06065835579161,1.0,0.015437731552975379,2.0399085453877572,0.9192303095422601,0.23346828609986509,0.5097819447538446,0.41533887041444056
"frozenset({'460509', '487179'})",frozenset({'1787079'}),0.012688700536636743,0.1344601033151111,0.011434876372937459,0.901185770750988,6.7022540406579445,1.0,0.009728752387846776,8.759263754451066,0.8617307071906118,0.08425720620842572,0.8858351537260373,0.49311433259668014
"frozenset({'460509', '487263'})",frozenset({'1787079'}),0.012237323837705,0.1344601033151111,0.01033151110888209,0.8442622950819673,6.278905595538733,1.0,0.008686079281363805,5.557677231345077,0.8511524042620842,0.07576314821625596,0.8200687160528072,0.4605496481004764
frozenset({'1784811'}),frozenset({'445452'}),0.04192788003410402,0.06685390440844576,0.02297005867897086,0.547846889952153,8.194688026073504,1.0,0.020167016195122088,2.063783428345342,0.9163921074149398,0.2676797194623028,0.515453033363215,0.4457163932131358
"frozenset({'1784811', '461517'})",frozenset({'445452'}),0.017754150157981846,0.06685390440844576,0.011234264506745573,0.6327683615819208,9.464942506813143,1.0,0.010047330249230662,2.5410285987646937,0.9105123272183522,0.15311004784688995,0.6064585811878921,0.40040518604227326
"frozenset({'461517', '445452'})",frozenset({'1784811'}),0.02171623451527158,0.04192788003410402,0.011234264506745573,0.5173210161662817,12.338353757583121,1.0,0.010323748831196798,1.984905396867143,0.9393510787889441,0.21435406698564588,0.4961976517478663,0.3926317999491695
frozenset({'435183'}),frozenset({'435204'}),0.03681227744621094,0.052610461908821904,0.024574953608505944,0.6675749318801091,12.689014839616297,1.0,0.02263824268814508,2.8499341022906757,0.9563988969709206,0.3789636504253675,0.649114693846347,0.567343233337576
frozenset({'435183'}),frozenset({'469455'}),0.03681227744621094,0.044585987261146494,0.02096394001705201,0.569482288828338,12.772674192292724,1.0,0.019322628283781458,2.219221156171894,0.9569348093909955,0.3468879668049793,0.5493914623069938,0.519836757462538
frozenset({'435183'}),frozenset({'469476'}),0.03681227744621094,0.038116254576458196,0.01915843322132504,0.5204359673024523,13.65391151584684,1.0,0.017755287082646055,2.0057462191502267,0.962180987444642,0.34352517985611514,0.5014324392326814,0.5115337731249103
frozenset({'469476'}),frozenset({'435183'}),0.038116254576458196,0.03681227744621094,0.01915843322132504,0.5026315789473684,13.65391151584684,1.0,0.017755287082646055,1.936567907780105,0.963485367530859,0.34352517985611514,0.4836225489524384,0.5115337731249103
