MIN_SUPPORT,Precision,Recall,F1 Score,FP-Growth(s),ML Total(s),Aprior(s),FP Count,ML Count,Apriori Candidates,ML Candidates
0.11,1.0000,1.0000,1.0000,0.21,0.26,0.10,14,14,67,55
0.09,1.0000,1.0000,1.0000,0.36,0.29,0.11,19,19,80,68
0.07,1.0000,1.0000,1.0000,0.32,0.22,0.08,27,27,89,77
0.05,1.0000,1.0000,1.0000,0.58,0.33,0.08,43,43,116,104
0.03,1.0000,1.0000,1.0000,1.14,0.33,0.24,78,78,226,195
0.01,1.0000,0.8195,0.9008,4.73,0.53,0.28,338,277,564,397
