MIN_SUPPORT,Precision,Recall,F1 Score,FP-Growth Time (s),ML Total Time (s),Aprior Time (s),Pattern Count
0.11,1.0,1.0,1.0,0.25508809089660645,0.26281023025512695,0.35411643981933594,14
0.09,1.0,1.0,1.0,0.22122931480407715,0.33119678497314453,0.08438277244567871,19
0.07,1.0,1.0,1.0,0.30279111862182617,0.3513057231903076,0.08490347862243652,27
0.05,1.0,0.9767441860465116,0.988235294117647,0.5533368587493896,0.3691391944885254,0.09705567359924316,43
0.03,1.0,0.9230769230769231,0.9600000000000001,1.0267586708068848,0.48827505111694336,0.1342172622680664,78
0.01,1.0,0.742603550295858,0.8522920203735144,4.529295921325684,0.8064641952514648,0.2713649272918701,338
