MIN_SUPPORT,Precision,Recall,F1 Score,FP-Growth Time (s),ML Total Time (s),Aprior Time (s),Pattern Count
0.11,1.0,1.0,1.0,3.63468337059021,5.923595666885376,0.658336877822876,78
0.09,1.0,1.0,1.0,8.317509174346924,11.465375900268555,1.2678229808807373,285
0.07,1.0,1.0,1.0,11.158695697784424,9.7029287815094,1.440652847290039,298
0.05,1.0,1.0,1.0,18.03571057319641,14.836931943893433,1.9863436222076416,298
0.03,1.0,1.0,1.0,28.348376035690308,25.156696319580078,2.784036636352539,793
0.01,1.0,1.0,1.0,61.96751642227173,46.223111152648926,4.0754125118255615,1835
