MIN_SUPPORT,Precision,Recall,F1 Score,FP-Growth(s),ML Total(s),Aprior(s),FP Count,ML Count,Apriori Candidates,ML Candidates
0.11,1.0000,1.0000,1.0000,0.14,0.29,0.07,14,14,55,95
0.09,1.0000,1.0000,1.0000,0.33,0.29,0.12,19,19,68,119
0.07,1.0000,1.0000,1.0000,0.42,0.44,0.13,27,27,77,161
0.05,1.0000,1.0000,1.0000,0.72,0.40,0.11,43,43,104,209
0.03,1.0000,1.0000,1.0000,1.12,0.46,0.34,78,78,214,244
0.01,1.0000,0.8195,0.9008,5.40,1.10,0.44,338,277,449,547
