window_start,ML_Time,FPG_Time,Precision,Recall,F1,ML_Count,GT_Count,ML_Candidate,Apriori_Candi,Gen_Time,Val_Time,Apriori_Time
0,7.044277667999268,13.249010801315308,1.0,0.8947368421052632,0.9444444444444444,1156.0,1292.0,2523.0,3187.0,2.118433952331543,3.539679765701294,1.2522666454315186
100,5.766974210739136,12.551620244979858,1.0,0.8862802641232576,0.9397121742512641,1208.0,1363.0,2617.0,3339.0,1.5603902339935303,3.235924482345581,1.3712589740753174
200,5.763794660568237,11.333060503005981,1.0,0.8766189502385822,0.9342535415909916,1286.0,1467.0,2735.0,3568.0,1.3858919143676758,3.165508270263672,1.4983680248260498
300,5.007070064544678,12.993610620498657,1.0,0.8712021136063408,0.9311683727497353,1319.0,1514.0,2831.0,3709.0,1.1248791217803955,2.8780736923217773,2.2411017417907715
400,8.690845251083374,14.56529974937439,1.0,0.8652751423149905,0.9277721261444557,1368.0,1581.0,2871.0,3778.0,1.8045637607574463,5.046037197113037,1.754896879196167
500,6.523233652114868,14.24141001701355,1.0,0.8653976886471788,0.9278425655976676,1273.0,1471.0,2724.0,3541.0,1.6821331977844238,3.510061502456665,2.016244411468506
600,5.290467023849487,12.259903192520142,1.0,0.8485477178423236,0.9180695847362513,1227.0,1446.0,2670.0,3524.0,1.3188807964324951,2.908392906188965,1.5426952838897705
700,6.085235118865967,12.10362982749939,1.0,0.8469601677148847,0.9171396140749148,1212.0,1431.0,2654.0,3471.0,1.424243688583374,3.463416814804077,1.757941484451294
800,6.709766387939453,12.507484674453735,1.0,0.8435064935064935,0.9151109545614653,1299.0,1540.0,2751.0,3642.0,1.5228376388549805,3.9391932487487793,1.5727334022521973
900,6.059279441833496,13.950776815414429,1.0,0.825635103926097,0.9044908285895003,1430.0,1732.0,2961.0,4014.0,1.3692872524261475,3.4613215923309326,2.524247884750366
1000,7.126498460769653,18.232937574386597,1.0,0.8241296518607443,0.9035867061533399,1373.0,1666.0,2896.0,3913.0,1.8333876132965088,3.7041099071502686,2.1193387508392334
1100,5.155765533447266,14.922930717468262,1.0,0.8257339163023111,0.9045501197399932,1322.0,1601.0,2833.0,3817.0,1.1062662601470947,2.989716053009033,2.2144124507904053
1200,5.3618738651275635,14.835677146911621,1.0,0.8295165394402035,0.9068150208623087,1304.0,1572.0,2810.0,3744.0,1.1640980243682861,3.06325101852417,1.6819469928741455
1300,6.801319599151611,13.393062114715576,1.0,0.8311855670103093,0.9078114004222378,1290.0,1552.0,2763.0,3673.0,1.5648109912872314,3.9770283699035645,1.7432794570922852
1400,6.903949975967407,15.616477012634277,1.0,0.8245412844036697,0.9038340666247643,1438.0,1744.0,2985.0,4075.0,1.6218981742858887,4.019894123077393,2.700606346130371
1500,8.349591732025146,14.291213750839233,1.0,0.8276440962506995,0.9056950398040416,1479.0,1787.0,3057.0,4214.0,2.1183969974517822,4.7860400676727295,2.247218132019043
1600,7.238251209259033,18.81594491004944,1.0,0.8279751833051325,0.9058932428262881,1468.0,1773.0,3044.0,4202.0,1.7774949073791504,4.077967405319214,1.9784893989562988
1700,5.246518611907959,13.677847862243652,1.0,0.8298109010011123,0.9069908814589666,1492.0,1798.0,3089.0,4276.0,1.0661261081695557,3.1542699337005615,1.9540109634399414
1800,6.299318313598633,14.67587161064148,1.0,0.8278965129358831,0.9058461538461539,1472.0,1778.0,3030.0,4173.0,1.6579735279083252,3.378960132598877,1.9254810810089111
1900,5.040977239608765,13.3957679271698,1.0,0.8273708120386144,0.9055313859540087,1457.0,1761.0,3041.0,4177.0,1.0767297744750977,2.9761345386505127,1.8982512950897217
Average,6.32325,14.080677,1.0,0.844998,0.915828,1343.65,1593.45,2844.25,3801.85,1.514936,3.563749,1.899739
