window_start,ML_Time,FPG_Time,Precision,Recall,F1,ML_Count,GT_Count,ML_Candidate,Apriori_Candi,Gen_Time,Val_Time,Apriori_Time
0,7.970071792602539,16.96695375442505,1.0,0.8869329722410291,0.9400789379260853,1310.0,1477.0,2887.0,3763.0,1.8009099960327148,4.9672346115112305,2.019031047821045
100,6.342334747314453,18.388456344604492,1.0,0.8869329722410291,0.9400789379260853,1310.0,1477.0,2887.0,3763.0,1.281123161315918,3.9867117404937744,2.5019876956939697
200,6.5899269580841064,17.27668595314026,1.0,0.8869329722410291,0.9400789379260853,1310.0,1477.0,2887.0,3763.0,1.4605107307434082,4.030431509017944,3.2751498222351074
300,7.469635725021362,15.252327919006348,1.0,0.8825831702544031,0.9376299376299376,1353.0,1533.0,2915.0,3824.0,1.4990150928497314,4.746616363525391,2.0010554790496826
400,6.407874822616577,15.865984201431274,1.0,0.8726937269372693,0.9320197044334975,1419.0,1626.0,2995.0,3995.0,1.303525686264038,3.9637718200683594,2.1198973655700684
500,6.603627681732178,15.539838552474976,1.0,0.8833967046894804,0.9380888290713325,1394.0,1578.0,2974.0,3912.0,1.1884686946868896,4.238343238830566,2.0615921020507812
600,6.101788759231567,14.277627944946289,1.0,0.8834142956280361,0.9380987472365513,1273.0,1441.0,2806.0,3646.0,1.0973362922668457,3.8965117931365967,1.9384315013885498
700,6.070267677307129,14.256980657577515,1.0,0.8884180790960452,0.9409124906507106,1258.0,1416.0,2798.0,3623.0,1.1672136783599854,3.798849582672119,1.9217324256896973
800,6.449599266052246,15.114556074142456,1.0,0.8870853916725476,0.9401645474943904,1257.0,1417.0,2790.0,3615.0,1.3104417324066162,4.030510902404785,1.9409124851226807
900,6.192084312438965,14.536083698272705,1.0,0.8834048640915594,0.9380934295480441,1235.0,1398.0,2751.0,3588.0,1.1941413879394531,3.8843166828155518,2.3637969493865967
1000,6.462766885757446,16.697614192962646,1.0,0.8870262390670554,0.9401313248358439,1217.0,1372.0,2748.0,3562.0,1.3164401054382324,4.098453998565674,2.106999635696411
1100,6.2310791015625,13.654594421386719,1.0,0.88373804267844,0.93828125,1201.0,1359.0,2745.0,3569.0,1.2812309265136719,3.918538808822632,1.755246639251709
1200,5.996684312820435,13.701842069625854,1.0,0.8834048640915594,0.9380934295480441,1235.0,1398.0,2770.0,3607.0,1.0801150798797607,3.843195676803589,2.1188766956329346
1300,6.156684637069702,13.357178688049316,1.0,0.8851499634235552,0.9390764454792394,1210.0,1367.0,2742.0,3560.0,1.0813474655151367,3.976369619369507,1.7911484241485596
1400,5.907435417175293,14.191964149475098,1.0,0.8856534090909091,0.9393596986817325,1247.0,1408.0,2767.0,3594.0,1.0455448627471924,3.7806928157806396,1.773578405380249
1500,5.836421489715576,16.886682510375977,1.0,0.8777943368107303,0.9349206349206349,1178.0,1342.0,2694.0,3504.0,1.0580778121948242,3.7963764667510986,2.1692264080047607
1600,6.279086112976074,12.872544050216675,1.0,0.8869365928189458,0.940080971659919,1161.0,1309.0,2689.0,3483.0,1.2445909976959229,3.8350486755371094,1.7342228889465332
1700,5.896113395690918,16.73742175102234,1.0,0.8899082568807339,0.941747572815534,1164.0,1308.0,2669.0,3465.0,1.126464605331421,3.7522499561309814,1.98343825340271
1800,7.352107048034668,13.413613319396973,1.0,0.8779378316906747,0.9350020185708519,1158.0,1319.0,2672.0,3485.0,1.569697380065918,4.715864419937134,1.5983529090881348
1900,5.306424379348755,12.901479482650757,1.0,0.8677014042867701,0.9291650178076771,1174.0,1353.0,2682.0,3519.0,1.037569284439087,3.3215532302856445,1.767509937286377
Average,6.381101,15.094521,1.0,0.883352,0.938055,1253.2,1418.75,2793.4,3642.0,1.257188,4.029082,2.047109
