MIN_SUPPORT,Precision,Recall,F1 Score,FP-Growth Time (s),ML Total Time (s),Aprior Time (s),Pattern Count
0.11,1.0,1.0,1.0,0.5929567813873291,3.3118293285369873,1.251188039779663,23
0.09,1.0,1.0,1.0,1.2297298908233643,2.8760457038879395,1.5239944458007812,33
0.07,1.0,1.0,1.0,1.7479476928710938,4.401681900024414,1.7415177822113037,41
0.05,1.0,1.0,1.0,3.992757797241211,5.4535813331604,2.6667466163635254,68
0.03,1.0,0.9464285714285714,0.9724770642201834,5.4325456619262695,10.777518033981323,1.5747661590576172,168
0.01,1.0,0.8115789473684211,0.8959907030796049,86.06912899017334,28.371309518814087,11.387880563735962,1900
