MIN_SUPPORT,Precision,Recall,F1 Score,FP-Growth(s),ML Total(s),Aprior(s),FP Count,ML Count,Apriori Candidates,ML Candidates
0.11,1.0000,1.0000,1.0000,0.27,0.70,0.37,23,23,289,253
0.09,1.0000,1.0000,1.0000,0.41,1.10,0.57,33,33,501,465
0.07,1.0000,1.0000,1.0000,0.44,1.22,0.71,41,41,597,561
0.05,1.0000,1.0000,1.0000,1.16,1.29,0.76,68,68,686,650
0.03,1.0000,1.0000,1.0000,3.50,1.94,0.76,168,168,839,802
0.01,1.0000,0.9263,0.9617,46.15,11.51,7.59,1900,1760,8253,6643
