MIN_SUPPORT,Precision,Recall,F1 Score,FP-Growth(s),ML Total(s),Aprior(s),FP Count,ML Count,Apriori Candidates,ML Candidates
0.11,1.0000,1.0000,1.0000,0.27,0.59,0.35,23,23,289,247
0.09,1.0000,1.0000,1.0000,0.37,1.11,0.81,33,33,501,454
0.07,1.0000,1.0000,1.0000,0.51,1.18,0.66,41,41,597,546
0.05,1.0000,1.0000,1.0000,1.03,1.13,0.75,68,68,686,626
0.03,1.0000,0.9464,0.9725,3.24,1.66,0.77,168,159,839,750
0.01,1.0000,0.7395,0.8502,53.02,8.53,8.18,1900,1405,8253,4682
