MIN_SUPPORT,Precision,Recall,F1 Score,FP-Growth(s),ML Total(s),Aprior(s),FP Count,ML Count,Apriori Candidates,ML Candidates
0.11,1.0000,1.0000,1.0000,0.13,0.12,0.12,14,14,67,54
0.09,1.0000,1.0000,1.0000,0.19,0.12,0.21,19,19,80,65
0.07,1.0000,1.0000,1.0000,0.36,0.14,0.30,27,27,89,72
0.05,1.0000,0.9800,0.9882,0.79,0.18,0.18,43,42,116,94
0.03,1.0000,0.9200,0.9600,1.74,0.33,0.14,78,72,226,176
0.01,1.0000,0.7000,0.8202,7.69,0.68,0.75,338,235,564,310
