MIN_SUPPORT,Precision,Recall,F1 Score,FP-Growth(s),ML Total(s),Aprior(s),FP Count,ML Count,Apriori Candidates,ML Candidates
0.11,1.0000,1.0000,1.0000,0.40,0.92,0.35,22,22,214,187
0.09,1.0000,1.0000,1.0000,0.60,0.87,0.69,27,27,277,249
0.07,1.0000,1.0000,1.0000,0.74,0.83,0.47,37,37,301,272
0.05,1.0000,0.9833,0.9916,1.36,0.93,0.79,60,59,324,291
0.03,1.0000,0.9583,0.9787,4.22,1.71,1.07,168,161,589,496
0.01,1.0000,0.7797,0.8762,24.87,4.89,2.88,1253,977,3414,2094
