MIN_SUPPORT,Precision,Recall,F1 Score,FP-Growth(s),ML Total(s),Aprior(s),FP Count,ML Count,Apriori Candidates,ML Candidates
0.11,1.0000,1.0000,1.0000,0.23,0.54,0.56,22,22,214,187
0.09,1.0000,1.0000,1.0000,0.53,0.47,0.63,27,27,277,249
0.07,1.0000,1.0000,1.0000,0.94,0.71,0.79,37,37,301,272
0.05,1.0000,0.9800,0.9900,1.21,0.83,0.42,60,59,324,291
0.03,1.0000,0.9600,0.9800,6.66,1.29,1.07,168,161,589,496
0.01,1.0000,0.7800,0.8800,69.71,7.06,8.43,1253,977,3414,2094
