MIN_SUPPORT,Precision,Recall,F1 Score,FP-Growth(s),ML Total(s),Aprior(s),FP Count,ML Count,Apriori Candidates,ML Candidates
0.11,1.0000,1.0000,1.0000,0.43,0.85,0.60,23,23,289,247
0.09,1.0000,1.0000,1.0000,0.85,1.60,1.20,33,33,501,454
0.07,1.0000,1.0000,1.0000,0.77,1.72,1.29,41,41,597,546
0.05,1.0000,1.0000,1.0000,2.63,2.42,2.10,68,68,686,626
0.03,1.0000,0.9500,0.9700,8.97,4.65,2.62,168,159,839,750
0.01,1.0000,0.7400,0.8500,130.13,24.49,24.29,1900,1405,8253,4682
