MIN_SUPPORT,Precision,Recall,F1 Score,FP-Growth(s),ML Total(s),Aprior(s),FP Count,ML Count,Apriori Candidates,ML Candidates
0.11,1.0000,0.9744,0.9870,2.42,0.65,0.60,78,76,298,176
0.09,1.0000,0.6140,0.7609,8.91,0.93,1.18,285,175,712,190
0.07,1.0000,0.6309,0.7737,13.31,0.73,2.00,298,188,793,211
0.05,1.0000,0.6309,0.7737,11.30,1.08,2.02,298,188,793,211
0.03,1.0000,0.2812,0.4390,31.76,1.11,4.10,793,223,1585,217
0.01,1.0000,0.1248,0.2219,73.53,1.08,7.41,1835,229,2522,218
