MIN_SUPPORT,Precision,Recall,F1 Score,FP-Growth(s),ML Total(s),Aprior(s),FP Count,ML Count,Apriori Candidates,ML Candidates
0.11,1.0000,1.0000,1.0000,0.24,0.86,0.31,23,23,289,529
0.09,1.0000,1.0000,1.0000,0.25,1.13,0.62,33,33,501,642
0.07,1.0000,1.0000,1.0000,0.51,1.54,0.67,41,41,597,748
0.05,1.0000,1.0000,1.0000,1.21,2.09,1.05,68,68,686,1175
0.03,1.0000,0.9464,0.9725,4.53,6.73,1.27,168,159,839,2477
0.01,1.0000,0.8116,0.8960,57.10,20.82,11.24,1900,1542,8253,10193
