window,TP,FP,FN,precision,recall,f1,generate,validate,ml_time,fpg_time,apr_time,apriori_cand,ml_candidate,num_generated,num_ground_truth
1000,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.15,0.45,0.6,0.52,0.13,80,79,12,19
1010,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.12,0.48,0.6,0.37,0.14,80,79,12,19
1020,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.18,0.57,0.75,0.54,0.11,80,79,12,19
1030,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.1,0.4,0.5,0.3,0.09,80,79,12,19
1040,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.12,0.46,0.5800000000000001,0.35,0.12,80,79,12,19
1050,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.12,0.45,0.5700000000000001,0.59,0.15,80,79,12,19
1060,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.12,0.38,0.5,0.7,0.19,80,79,12,19
1070,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.1,0.4,0.5,0.34,0.1,80,79,12,19
1080,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.1,0.47,0.57,0.4,0.16,80,79,12,19
1090,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.11,0.33,0.44,0.28,0.19,80,79,12,19
