window,TP,FP,FN,precision,recall,f1,generate,validate,ml_time,fpg_time,apr_time,apriori_cand,ml_candidate,num_generated,num_ground_truth
1000,12,0,16,1.0,0.42857142857142855,0.6,0.08,0.13,0.21000000000000002,0.32,0.06,92,91,12,28
1010,12,0,16,1.0,0.42857142857142855,0.6,0.13,0.2,0.33,0.41,0.06,92,91,12,28
1020,12,0,16,1.0,0.42857142857142855,0.6,0.11,0.16,0.27,0.35,0.08,92,91,12,28
1030,12,0,16,1.0,0.42857142857142855,0.6,0.1,0.16,0.26,0.44,0.09,92,91,12,28
1040,12,0,16,1.0,0.42857142857142855,0.6,0.13,0.18,0.31,0.37,0.07,92,91,12,28
1050,12,0,16,1.0,0.42857142857142855,0.6,0.1,0.18,0.28,0.35,0.07,92,91,12,28
1060,12,0,16,1.0,0.42857142857142855,0.6,0.12,0.16,0.28,0.41,0.06,92,91,12,28
1070,12,0,16,1.0,0.42857142857142855,0.6,0.13,0.17,0.30000000000000004,0.32,0.08,92,91,12,28
1080,12,0,16,1.0,0.42857142857142855,0.6,0.13,0.17,0.30000000000000004,0.33,0.06,92,91,12,28
1090,12,0,16,1.0,0.42857142857142855,0.6,0.13,0.25,0.38,0.34,0.06,92,91,12,28
