window,TP,FP,FN,precision,recall,f1,latency_sec,num_generated,num_ground_truth
1000,1372,0,4,1.0,0.997093023255814,0.9985443959243085,11.368899583816528,1372,1376
1010,1348,0,4,1.0,0.9970414201183432,0.9985185185185186,9.982083320617676,1348,1352
1020,1282,0,4,1.0,0.9968895800933126,0.9984423676012462,8.693424224853516,1282,1286
1030,1394,0,4,1.0,0.9971387696709585,0.9985673352435529,6.992074012756348,1394,1398
1040,1379,0,4,1.0,0.9971077368040492,0.998551774076756,7.701211929321289,1379,1383
1050,1378,0,4,1.0,0.9971056439942113,0.9985507246376812,8.112867832183838,1378,1382
1060,1616,0,4,1.0,0.9975308641975309,0.9987639060568604,9.829636812210083,1616,1620
1070,1673,0,4,1.0,0.9976147883124628,0.9988059701492537,12.800089597702026,1673,1677
1080,1043,0,4,1.0,0.9961795606494747,0.9980861244019139,7.557366847991943,1043,1047
1090,1026,0,4,1.0,0.996116504854369,0.9980544747081712,7.692611932754517,1026,1030
1100,1013,0,4,1.0,0.9960668633235005,0.9980295566502463,8.132285594940186,1013,1017
1110,1013,0,4,1.0,0.9960668633235005,0.9980295566502463,6.764097452163696,1013,1017
1120,991,0,4,1.0,0.9959798994974874,0.9979859013091642,6.390294313430786,991,995
1130,699,0,4,1.0,0.9943100995732574,0.9971469329529243,4.965242624282837,699,703
1140,699,0,4,1.0,0.9943100995732574,0.9971469329529243,5.395054817199707,699,703
1150,710,0,4,1.0,0.9943977591036415,0.9971910112359551,5.64080810546875,710,714
1160,448,0,4,1.0,0.9911504424778761,0.9955555555555555,4.39615797996521,448,452
1170,257,0,4,1.0,0.9846743295019157,0.9922779922779923,2.68039870262146,257,261
1180,229,0,4,1.0,0.9828326180257511,0.9913419913419913,2.0878665447235107,229,233
1190,237,0,4,1.0,0.983402489626556,0.9916317991631798,2.337651014328003,237,241
1200,244,0,4,1.0,0.9838709677419355,0.991869918699187,2.4347877502441406,244,248
1210,274,0,4,1.0,0.9856115107913669,0.9927536231884058,2.8222432136535645,274,278
1220,265,0,4,1.0,0.9851301115241635,0.9925093632958801,2.6119446754455566,265,269
1230,281,0,4,1.0,0.9859649122807017,0.9929328621908127,2.483511209487915,281,285
1240,274,0,4,1.0,0.9856115107913669,0.9927536231884058,2.434049606323242,274,278
1250,353,0,4,1.0,0.988795518207283,0.9943661971830986,2.6539862155914307,353,357
1260,367,0,4,1.0,0.9892183288409704,0.994579945799458,2.8190879821777344,367,371
1270,374,0,4,1.0,0.9894179894179894,0.9946808510638299,3.1256303787231445,374,378
1280,423,0,4,1.0,0.990632318501171,0.9952941176470588,4.4570152759552,423,427
1290,420,0,3,1.0,0.9929078014184397,0.9964412811387899,4.187791109085083,420,423
1300,532,0,3,1.0,0.994392523364486,0.9971883786316776,3.655632495880127,532,535
1310,530,0,3,1.0,0.9943714821763602,0.9971777986829726,3.75205659866333,530,533
1320,537,0,3,1.0,0.9944444444444445,0.9972144846796658,3.8482506275177,537,540
1330,511,0,2,1.0,0.9961013645224172,0.9980468750000001,3.8869917392730713,511,513
1340,487,0,2,1.0,0.9959100204498977,0.9979508196721312,3.7961442470550537,487,489
1350,418,0,2,1.0,0.9952380952380953,0.9976133651551313,2.8779592514038086,418,420
1360,385,0,2,1.0,0.9948320413436692,0.9974093264248705,2.9350473880767822,385,387
1370,397,0,2,1.0,0.9949874686716792,0.9974874371859296,2.8369555473327637,397,399
1380,343,0,3,1.0,0.9913294797687862,0.9956458635703919,3.213306188583374,343,346
1390,370,0,3,1.0,0.9919571045576407,0.9959623149394348,2.610158920288086,370,373
1400,255,0,3,1.0,0.9883720930232558,0.9941520467836257,1.9546880722045898,255,258
1410,258,0,3,1.0,0.9885057471264368,0.9942196531791908,1.7831432819366455,258,261
1420,347,0,3,1.0,0.9914285714285714,0.9956958393113342,2.9426472187042236,347,350
1430,346,0,3,1.0,0.9914040114613181,0.99568345323741,2.8655357360839844,346,349
1440,371,0,3,1.0,0.9919786096256684,0.9959731543624161,2.8524277210235596,371,374
1450,368,0,3,1.0,0.9919137466307277,0.9959404600811907,4.6467554569244385,368,371
1460,413,0,3,1.0,0.9927884615384616,0.9963811821471652,4.084692478179932,413,416
1470,404,0,3,1.0,0.9926289926289926,0.9963008631319359,3.3324389457702637,404,407
1480,407,0,3,1.0,0.9926829268292683,0.996328029375765,3.667924642562866,407,410
1490,386,0,2,1.0,0.9948453608247423,0.9974160206718347,3.0758001804351807,386,388
1500,307,0,2,1.0,0.9935275080906149,0.9967532467532468,2.356448173522949,307,309
1510,324,0,2,1.0,0.9938650306748467,0.9969230769230769,2.386262893676758,324,326
1520,262,0,2,1.0,0.9924242424242424,0.9961977186311787,2.025378704071045,262,264
1530,280,0,2,1.0,0.9929078014184397,0.9964412811387899,2.363785982131958,280,282
1540,298,0,2,1.0,0.9933333333333333,0.9966555183946488,2.3375580310821533,298,300
1550,298,0,2,1.0,0.9933333333333333,0.9966555183946488,2.2582685947418213,298,300
1560,276,0,2,1.0,0.9928057553956835,0.996389891696751,2.074744939804077,276,278
