window_start,ML_Time,FPG_Time,Precision,Recall,F1,ML_Count,GT_Count,ML_Candidate,Apriori_Candi,Gen_Time,Val_Time,Apriori_Time
0,0.21441221237182617,0.03372812271118164,1.0,1.0,1.0,17.0,17.0,92.0,115.0,0.08692026138305664,0.06954407691955566,0.021060705184936523
100,0.2563498020172119,0.04219365119934082,1.0,1.0,1.0,24.0,24.0,190.0,214.0,0.08811044692993164,0.09978532791137695,0.034787893295288086
200,0.2860143184661865,0.039217472076416016,1.0,1.0,1.0,24.0,24.0,209.0,233.0,0.09737873077392578,0.11627483367919922,0.05835318565368652
300,0.48541998863220215,0.08457756042480469,1.0,1.0,1.0,25.0,25.0,209.0,233.0,0.18261241912841797,0.16152620315551758,0.03869056701660156
400,0.5068879127502441,0.08221650123596191,1.0,1.0,1.0,26.0,26.0,209.0,233.0,0.19042730331420898,0.1596970558166504,0.029587268829345703
500,0.5843336582183838,0.08616924285888672,1.0,1.0,1.0,26.0,26.0,209.0,233.0,0.2115797996520996,0.20725369453430176,0.03577852249145508
600,0.4636261463165283,0.07679057121276855,1.0,1.0,1.0,24.0,24.0,189.0,214.0,0.1576540470123291,0.15926408767700195,0.028887510299682617
700,0.43051671981811523,0.08289265632629395,1.0,1.0,1.0,24.0,24.0,189.0,214.0,0.16025590896606445,0.13254761695861816,0.037210941314697266
800,0.5511417388916016,0.07972025871276855,1.0,1.0,1.0,26.0,26.0,189.0,214.0,0.1735994815826416,0.1434497833251953,0.027412891387939453
900,0.4824042320251465,0.08436894416809082,1.0,1.0,1.0,24.0,24.0,171.0,195.0,0.1424424648284912,0.18386149406433105,0.03578448295593262
1000,0.4539823532104492,0.0875704288482666,1.0,1.0,1.0,25.0,25.0,190.0,214.0,0.17531228065490723,0.13763046264648438,0.04188656806945801
1100,0.44930171966552734,0.08339333534240723,1.0,1.0,1.0,24.0,24.0,153.0,177.0,0.17989730834960938,0.11335134506225586,0.03284716606140137
1200,0.4797065258026123,0.08034825325012207,1.0,1.0,1.0,27.0,27.0,171.0,195.0,0.16131281852722168,0.16314244270324707,0.024540185928344727
1300,0.41817212104797363,0.08471560478210449,1.0,1.0,1.0,27.0,27.0,171.0,195.0,0.171187162399292,0.10189318656921387,0.03567767143249512
1400,0.45833516120910645,0.08773350715637207,1.0,1.0,1.0,26.0,26.0,171.0,195.0,0.19779586791992188,0.11243915557861328,0.026486635208129883
1500,0.3840460777282715,0.07651185989379883,1.0,1.0,1.0,27.0,27.0,171.0,195.0,0.13647747039794922,0.10567712783813477,0.04143524169921875
1600,0.43591976165771484,0.16301512718200684,1.0,1.0,1.0,27.0,27.0,190.0,214.0,0.1540215015411377,0.1416471004486084,0.032732486724853516
1700,0.393218994140625,0.07445836067199707,1.0,1.0,1.0,29.0,29.0,191.0,215.0,0.13417267799377441,0.12445259094238281,0.03122234344482422
1800,0.5350661277770996,0.08129620552062988,1.0,1.0,1.0,32.0,32.0,194.0,218.0,0.20021986961364746,0.17081904411315918,0.0328068733215332
1900,0.424515962600708,0.08991146087646484,1.0,1.0,1.0,33.0,33.0,195.0,219.0,0.14891767501831055,0.1317436695098877,0.031235218048095703
Average,0.434669,0.080041,1.0,1.0,1.0,25.85,25.85,182.65,206.75,0.157515,0.1368,0.033921
