window_start,ML_Time,FPG_Time,Precision,Recall,F1,ML_Count,GT_Count,ML_Candidate,Apriori_Candi,Gen_Time,Val_Time,Apriori_Time
0,0.6047890186309814,0.11302947998046875,1.0,1.0,1.0,22.0,22.0,171.0,195.0,0.17331194877624512,0.28600358963012695,0.08419084548950195
100,0.9826934337615967,0.10283589363098145,1.0,1.0,1.0,24.0,24.0,189.0,214.0,0.4585599899291992,0.3784615993499756,0.06536436080932617
200,0.42626166343688965,0.09397649765014648,1.0,1.0,1.0,23.0,23.0,189.0,214.0,0.12376737594604492,0.19244861602783203,0.05289053916931152
300,0.535003662109375,0.11392903327941895,1.0,1.0,1.0,24.0,24.0,209.0,234.0,0.13971304893493652,0.28217554092407227,0.07456803321838379
400,0.48728299140930176,0.10875487327575684,1.0,1.0,1.0,23.0,23.0,189.0,214.0,0.1430497169494629,0.20550227165222168,0.07325887680053711
500,0.5737483501434326,0.17346906661987305,1.0,1.0,1.0,25.0,25.0,209.0,234.0,0.19311285018920898,0.24402403831481934,0.06259489059448242
600,0.4480326175689697,0.10068058967590332,1.0,1.0,1.0,26.0,26.0,209.0,234.0,0.1221761703491211,0.19640183448791504,0.048293352127075195
700,0.3838493824005127,0.0972754955291748,1.0,1.0,1.0,26.0,26.0,209.0,234.0,0.10836243629455566,0.18502140045166016,0.048491477966308594
800,0.3987421989440918,0.12407732009887695,1.0,1.0,1.0,27.0,27.0,190.0,214.0,0.11197352409362793,0.1855933666229248,0.06051778793334961
900,0.4241640567779541,0.1092982292175293,1.0,1.0,1.0,27.0,27.0,190.0,214.0,0.1335127353668213,0.1895279884338379,0.06310725212097168
1000,0.42612314224243164,0.1038358211517334,1.0,1.0,1.0,27.0,27.0,190.0,214.0,0.1277763843536377,0.19405746459960938,0.047478675842285156
1100,0.38045239448547363,0.10614657402038574,1.0,1.0,1.0,27.0,27.0,190.0,214.0,0.1096808910369873,0.17591047286987305,0.045723676681518555
1200,0.407947301864624,0.1102302074432373,1.0,1.0,1.0,27.0,27.0,190.0,214.0,0.11807584762573242,0.19170641899108887,0.05955314636230469
1300,0.408618688583374,0.10629153251647949,1.0,1.0,1.0,27.0,27.0,190.0,214.0,0.12705492973327637,0.17090773582458496,0.043878793716430664
1400,0.40456461906433105,0.09910941123962402,1.0,1.0,1.0,28.0,28.0,210.0,234.0,0.11690783500671387,0.19035863876342773,0.1360762119293213
1500,0.41057610511779785,0.10894179344177246,1.0,1.0,1.0,29.0,29.0,231.0,255.0,0.11099934577941895,0.19602560997009277,0.05212664604187012
1600,0.5422143936157227,0.1098167896270752,1.0,1.0,1.0,29.0,29.0,231.0,255.0,0.13048577308654785,0.30021071434020996,0.06417512893676758
1700,0.45002198219299316,0.10150551795959473,1.0,1.0,1.0,29.0,29.0,231.0,255.0,0.12071037292480469,0.1999056339263916,0.0497584342956543
1800,0.4227156639099121,0.0986473560333252,1.0,1.0,1.0,29.0,29.0,231.0,255.0,0.11062741279602051,0.21207594871520996,0.05089998245239258
1900,0.41133904457092285,0.10842657089233398,1.0,1.0,1.0,29.0,29.0,231.0,255.0,0.113189697265625,0.19724512100219727,0.050607919692993164
Average,0.476457,0.109514,1.0,1.0,1.0,26.4,26.4,203.95,228.3,0.144652,0.218678,0.061678
