window_start,ML_Time,FPG_Time,Precision,Recall,F1,ML_Count,GT_Count,ML_Candidate,Apriori_Candi,Gen_Time,Val_Time,Apriori_Time
0,0.29600024223327637,0.05026960372924805,1.0,1.0,1.0,17.0,17.0,92.0,115.0,0.14132928848266602,0.08331537246704102,0.0289914608001709
100,0.34734010696411133,0.057512521743774414,1.0,1.0,1.0,24.0,24.0,190.0,214.0,0.1310262680053711,0.10654330253601074,0.15981340408325195
200,0.30213379859924316,0.05100369453430176,1.0,1.0,1.0,24.0,24.0,209.0,233.0,0.10745382308959961,0.10568118095397949,0.048429012298583984
300,0.3336176872253418,0.05958700180053711,1.0,1.0,1.0,25.0,25.0,209.0,233.0,0.12472248077392578,0.1137244701385498,0.03500032424926758
400,0.34765124320983887,0.07268977165222168,1.0,1.0,1.0,26.0,26.0,209.0,233.0,0.12457036972045898,0.11054110527038574,0.027623891830444336
500,0.39709925651550293,0.0868535041809082,1.0,1.0,1.0,26.0,26.0,209.0,233.0,0.15612220764160156,0.12270784378051758,0.03745460510253906
600,0.4162178039550781,0.07488369941711426,1.0,1.0,1.0,24.0,24.0,189.0,214.0,0.16052460670471191,0.13049983978271484,0.03561258316040039
700,0.38651132583618164,0.05875062942504883,1.0,1.0,1.0,24.0,24.0,189.0,214.0,0.16388797760009766,0.11014556884765625,0.03429126739501953
800,0.3961982727050781,0.0745232105255127,1.0,1.0,1.0,26.0,26.0,189.0,214.0,0.1213531494140625,0.11059427261352539,0.029000282287597656
900,0.2908201217651367,0.06502437591552734,1.0,1.0,1.0,24.0,24.0,171.0,195.0,0.10862851142883301,0.0981905460357666,0.027996540069580078
1000,0.30110955238342285,0.059087276458740234,1.0,1.0,1.0,25.0,25.0,190.0,214.0,0.10900664329528809,0.09958386421203613,0.03708219528198242
1100,0.32923126220703125,0.06992411613464355,1.0,1.0,1.0,24.0,24.0,153.0,177.0,0.13724970817565918,0.09305858612060547,0.02511763572692871
1200,0.35424160957336426,0.07248401641845703,1.0,1.0,1.0,27.0,27.0,171.0,195.0,0.13235974311828613,0.10913944244384766,0.02260279655456543
1300,0.3482072353363037,0.07455086708068848,1.0,1.0,1.0,27.0,27.0,171.0,195.0,0.12391304969787598,0.11376667022705078,0.024119138717651367
1400,0.3649463653564453,0.07780051231384277,1.0,1.0,1.0,26.0,26.0,171.0,195.0,0.13864731788635254,0.11534523963928223,0.023630619049072266
1500,0.34840893745422363,0.0841372013092041,1.0,1.0,1.0,27.0,27.0,171.0,195.0,0.12705159187316895,0.11002612113952637,0.027704954147338867
1600,0.42486000061035156,0.0741877555847168,1.0,1.0,1.0,27.0,27.0,190.0,214.0,0.139204740524292,0.14880108833312988,0.02249765396118164
1700,0.35077452659606934,0.08762192726135254,1.0,1.0,1.0,29.0,29.0,191.0,215.0,0.13879847526550293,0.10577392578125,0.02756810188293457
1800,0.40245723724365234,0.07001638412475586,1.0,1.0,1.0,32.0,32.0,194.0,218.0,0.1574413776397705,0.11135005950927734,0.022748708724975586
1900,0.5178449153900146,0.09958863258361816,1.0,1.0,1.0,33.0,33.0,195.0,219.0,0.16399288177490234,0.22492408752441406,0.041063785552978516
Average,0.362784,0.071025,1.0,1.0,1.0,25.85,25.85,182.65,206.75,0.135364,0.116186,0.036917
