window_start,ML_Time,FPG_Time,Precision,Recall,F1,ML_Count,GT_Count,ML_Candidate,Apriori_Candi,Gen_Time,Val_Time,Apriori_Time
0,1.0043652057647705,0.39771223068237305,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,169.0,195.0,0.2677180767059326,0.618255615234375,0.12308502197265625
10,0.6467137336730957,0.1335601806640625,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,169.0,195.0,0.13922119140625,0.4449920654296875,0.10214376449584961
20,0.5480799674987793,0.12986183166503906,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,169.0,195.0,0.09564375877380371,0.3987550735473633,0.11425471305847168
30,0.6717870235443115,0.14233660697937012,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,169.0,195.0,0.10015296936035156,0.5162560939788818,0.11822676658630371
40,0.6249151229858398,0.1523120403289795,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,169.0,195.0,0.11583995819091797,0.44666028022766113,0.11969947814941406
50,0.6116561889648438,0.14749407768249512,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,169.0,195.0,0.09633517265319824,0.4523482322692871,0.12159204483032227
60,0.7857041358947754,0.26106929779052734,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,169.0,195.0,0.1923537254333496,0.5162665843963623,0.15209674835205078
70,0.6048476696014404,0.2669689655303955,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,169.0,195.0,0.09477925300598145,0.45899057388305664,0.10581803321838379
80,0.7540113925933838,0.1491403579711914,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,169.0,195.0,0.09046030044555664,0.6057076454162598,0.1309974193572998
90,0.6554548740386963,0.1565384864807129,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,169.0,195.0,0.12714862823486328,0.44177961349487305,0.1245884895324707
100,0.6606736183166504,0.18656110763549805,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,169.0,195.0,0.12180495262145996,0.4773118495941162,0.1344621181488037
110,0.568962574005127,0.12894058227539062,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,169.0,195.0,0.13184690475463867,0.3845374584197998,0.10685443878173828
120,0.5962269306182861,0.17357325553894043,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,169.0,195.0,0.10156869888305664,0.43873071670532227,0.15528512001037598
130,0.6124475002288818,0.26699328422546387,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,169.0,195.0,0.11485075950622559,0.4399833679199219,0.11428427696228027
140,0.5522801876068115,0.14874601364135742,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,169.0,195.0,0.10484075546264648,0.39113378524780273,0.10473370552062988
150,0.6747443675994873,0.07742023468017578,1.0,0.95,0.9743589743589743,19.0,20.0,169.0,195.0,0.14068198204040527,0.48105525970458984,0.12172985076904297
160,0.6993892192840576,0.09649229049682617,1.0,0.95,0.9743589743589743,19.0,20.0,169.0,195.0,0.08604168891906738,0.5159511566162109,0.11102175712585449
170,0.6682755947113037,0.09231758117675781,1.0,0.95,0.9743589743589743,19.0,20.0,169.0,195.0,0.12225890159606934,0.4664950370788574,0.13057899475097656
180,0.5111746788024902,0.08350944519042969,1.0,0.95,0.9743589743589743,19.0,20.0,169.0,195.0,0.062155723571777344,0.4096548557281494,0.11802792549133301
190,0.5056297779083252,0.07172107696533203,1.0,0.95,0.9743589743589743,19.0,20.0,169.0,195.0,0.06930851936340332,0.39783406257629395,0.09208798408508301
Average,0.647867,0.163163,1.0,0.951786,0.975297,19.75,20.75,169.0,195.0,0.118751,0.465135,0.120078
