window_start,ML_Time,FPG_Time,Precision,Recall,F1,ML_Count,GT_Count,ML_Candidate,Apriori_Candi,Gen_Time,Val_Time,Apriori_Time
0,0.6892411708831787,0.07745552062988281,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.10156893730163574,0.5099318027496338,0.49710893630981445
10,0.752483606338501,0.06200361251831055,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.22489309310913086,0.43796396255493164,0.09946966171264648
20,0.5772325992584229,0.08241820335388184,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.12992644309997559,0.3687155246734619,0.10059690475463867
30,0.6460103988647461,0.09441804885864258,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.17704272270202637,0.3990821838378906,0.1458902359008789
40,0.8497607707977295,0.11285233497619629,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.1194143295288086,0.6329138278961182,0.16076064109802246
50,0.6250026226043701,0.06515216827392578,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.12437105178833008,0.4135305881500244,0.09139180183410645
60,0.5346922874450684,0.07062864303588867,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.07749390602111816,0.40966367721557617,0.08903956413269043
70,0.8658056259155273,0.08262133598327637,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.4162440299987793,0.3950223922729492,0.12888169288635254
80,0.7693357467651367,0.1094522476196289,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.18127822875976562,0.5225777626037598,0.15559792518615723
90,0.6396942138671875,0.07760310173034668,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.1373307704925537,0.44236326217651367,0.08739876747131348
100,0.5285565853118896,0.07580924034118652,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.07479023933410645,0.3977546691894531,0.09531831741333008
110,0.5667421817779541,0.07427406311035156,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.09075665473937988,0.41861581802368164,0.15390539169311523
120,0.5410382747650146,0.05877065658569336,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.11978435516357422,0.36319565773010254,0.08097386360168457
130,0.49039721488952637,0.20657134056091309,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.09403872489929199,0.34387946128845215,0.09260869026184082
140,0.4696657657623291,0.06971955299377441,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.07135653495788574,0.3498258590698242,0.08870768547058105
150,0.6775116920471191,0.06760025024414062,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.08069300651550293,0.5453169345855713,0.08738040924072266
160,0.44683837890625,0.061303138732910156,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.07157754898071289,0.31920886039733887,0.08814263343811035
170,0.4737839698791504,0.05967545509338379,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.07765817642211914,0.3376624584197998,0.08264803886413574
180,0.46215343475341797,0.06000471115112305,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.0778663158416748,0.3374061584472656,0.09549593925476074
190,0.5103626251220703,0.221449613571167,1.0,0.9523809523809523,0.975609756097561,20.0,21.0,188.0,214.0,0.09727168083190918,0.3522014617919922,0.10039305686950684
Average,0.605815,0.089489,1.0,0.952381,0.97561,20.0,21.0,188.0,214.0,0.127268,0.414842,0.126086
