window_start,ML_Time,FPG_Time,Precision,Recall,F1,ML_Count,GT_Count,ML_Candidate,Apriori_Candi,Gen_Time,Val_Time,Apriori_Time
0,1.4839136600494385,1.628056526184082,1.0,0.9483870967741935,0.9735099337748345,147.0,155.0,483.0,560.0,0.3570883274078369,0.9356293678283691,0.27542781829833984
10,1.522557258605957,1.6915090084075928,1.0,0.9490445859872612,0.9738562091503268,149.0,157.0,489.0,571.0,0.35008716583251953,0.9854421615600586,0.2563445568084717
20,1.4033474922180176,1.754112958908081,1.0,0.949685534591195,0.9741935483870968,151.0,159.0,500.0,583.0,0.31990766525268555,0.9093587398529053,0.2581961154937744
30,1.4502673149108887,1.872633934020996,1.0,0.95,0.9743589743589743,152.0,160.0,506.0,589.0,0.32802677154541016,0.931422233581543,0.26311421394348145
40,1.5298197269439697,1.8010849952697754,1.0,0.95,0.9743589743589743,152.0,160.0,506.0,589.0,0.334674596786499,0.9768857955932617,0.28073668479919434
50,1.459867238998413,1.7100043296813965,1.0,0.9503105590062112,0.9745222929936307,153.0,161.0,509.0,596.0,0.3138003349304199,0.9538557529449463,0.29657483100891113
60,1.735372543334961,1.9722163677215576,1.0,0.9503105590062112,0.9745222929936307,153.0,161.0,509.0,596.0,0.3707103729248047,1.155750036239624,0.33026981353759766
70,1.8512556552886963,1.8002488613128662,1.0,0.9447852760736196,0.971608832807571,154.0,163.0,510.0,597.0,0.35627055168151855,1.2067029476165771,0.2748439311981201
80,1.759974479675293,2.0561940670013428,1.0,0.9447852760736196,0.971608832807571,154.0,163.0,510.0,597.0,0.36391234397888184,1.1678822040557861,0.2667429447174072
90,1.7385940551757812,2.4819302558898926,1.0,0.9447852760736196,0.971608832807571,154.0,163.0,510.0,597.0,0.4385721683502197,1.070927619934082,0.37430500984191895
100,2.299149990081787,2.6163365840911865,1.0,0.9447852760736196,0.971608832807571,154.0,163.0,510.0,597.0,0.527080774307251,1.5073587894439697,0.31626272201538086
110,2.0999865531921387,2.7305493354797363,1.0,0.9447852760736196,0.971608832807571,154.0,163.0,510.0,597.0,0.40848731994628906,1.460857629776001,0.3057553768157959
120,1.825596809387207,2.0574023723602295,1.0,0.9451219512195121,0.9717868338557993,155.0,164.0,510.0,598.0,0.37437963485717773,1.2076256275177002,0.45856666564941406
130,2.8525078296661377,2.4544618129730225,1.0,0.9451219512195121,0.9717868338557993,155.0,164.0,510.0,598.0,0.7649314403533936,1.7803471088409424,0.4579288959503174
140,1.8499984741210938,2.4654343128204346,1.0,0.9451219512195121,0.9717868338557993,155.0,164.0,510.0,598.0,0.37398433685302734,1.2450811862945557,0.6563031673431396
150,2.2559142112731934,1.820528507232666,1.0,0.9457831325301205,0.9721362229102167,157.0,166.0,514.0,604.0,0.541555643081665,1.4639921188354492,0.3213648796081543
160,2.2699174880981445,2.1817100048065186,1.0,0.9457831325301205,0.9721362229102167,157.0,166.0,514.0,604.0,0.47451138496398926,1.5589635372161865,0.3877537250518799
170,1.9258720874786377,1.8311293125152588,1.0,0.9457831325301205,0.9721362229102167,157.0,166.0,514.0,604.0,0.4314582347869873,1.2656068801879883,0.27538371086120605
180,1.5358664989471436,1.9594314098358154,1.0,0.9457831325301205,0.9721362229102167,157.0,166.0,514.0,604.0,0.33561086654663086,0.9857897758483887,0.27796339988708496
190,1.5216491222381592,1.77882719039917,1.0,0.9401197604790419,0.9691358024691358,157.0,167.0,514.0,606.0,0.32935023307800293,0.9894635677337646,0.2966921329498291
Average,1.818571,2.03319,1.0,0.946514,0.97252,153.85,162.55,507.6,594.25,0.40472,1.187947,0.331527
