window_start,ML_Time,FPG_Time,Precision,Recall,F1,ML_Count,GT_Count,ML_Candidate,Apriori_Candi,Gen_Time,Val_Time,Apriori_Time
0,5.356547117233276,12.033493995666504,1.0,0.7128482972136223,0.832354270221419,921.0,1292.0,1910.0,3437.0,1.7433786392211914,2.703927516937256,3.8203513622283936
10,4.570286989212036,10.157854318618774,1.0,0.7127413127413127,0.8322813345356176,923.0,1295.0,1910.0,3437.0,1.2061185836791992,2.573115587234497,3.291900157928467
20,5.152721881866455,13.314064025878906,1.0,0.7124132613723978,0.8320576316974336,924.0,1297.0,1912.0,3437.0,1.3915035724639893,2.911714553833008,2.9988975524902344
30,4.176008462905884,10.639819860458374,1.0,0.7119815668202765,0.8317631224764468,927.0,1302.0,1913.0,3437.0,1.1395249366760254,2.301511764526367,2.8076605796813965
40,4.348339796066284,11.057557821273804,1.0,0.7138531415594247,0.8330388692579506,943.0,1321.0,1941.0,3437.0,1.173351764678955,2.479719400405884,3.1472041606903076
50,4.7943501472473145,11.765774726867676,1.0,0.7075892857142857,0.8287581699346406,951.0,1344.0,1954.0,3437.0,1.2886836528778076,2.7637336254119873,2.889479160308838
60,5.153594017028809,10.933056116104126,1.0,0.7075892857142857,0.8287581699346406,951.0,1344.0,1954.0,3437.0,1.3337771892547607,3.066587448120117,2.7817721366882324
70,4.766361951828003,11.945919752120972,1.0,0.7079646017699115,0.8290155440414507,960.0,1356.0,1979.0,3437.0,1.1305179595947266,2.950953960418701,3.095782995223999
80,4.746726751327515,12.765483140945435,1.0,0.707442888725129,0.8286577470867501,960.0,1357.0,1979.0,3437.0,1.2094182968139648,2.736288547515869,3.261657953262329
90,4.3243043422698975,13.992846965789795,1.0,0.7069219440353461,0.8283002588438308,960.0,1358.0,1979.0,3437.0,1.0991706848144531,2.5528154373168945,3.7506930828094482
100,4.553649663925171,13.539251804351807,1.0,0.7050623624358033,0.8270223752151462,961.0,1363.0,1979.0,3437.0,1.2793347835540771,2.590289354324341,2.931732177734375
110,6.560100078582764,12.319648504257202,1.0,0.7059679767103348,0.8276450511945392,970.0,1374.0,1991.0,3437.0,1.809671401977539,3.7255682945251465,3.3676984310150146
120,4.9064671993255615,12.705458641052246,1.0,0.7064285714285714,0.8279614901632482,989.0,1400.0,2014.0,3437.0,1.293898344039917,2.7326605319976807,2.9373133182525635
130,4.091428279876709,10.929039478302002,1.0,0.6997187060478199,0.8233347124534546,995.0,1422.0,2022.0,3437.0,1.0970327854156494,2.3266847133636475,3.4063754081726074
140,5.9306840896606445,12.856250762939453,1.0,0.6997187060478199,0.8233347124534546,995.0,1422.0,2022.0,3437.0,1.7097012996673584,3.2955942153930664,3.1108765602111816
150,4.369091272354126,14.566209077835083,1.0,0.6988120195667366,0.8227067050596463,1000.0,1431.0,2037.0,3437.0,1.3200719356536865,2.321578025817871,4.375558376312256
160,4.618795394897461,12.591856002807617,1.0,0.700486448922863,0.8238659583163056,1008.0,1439.0,2041.0,3437.0,1.359351396560669,2.511845350265503,3.0063040256500244
170,5.10580039024353,12.467904567718506,1.0,0.6984235777930089,0.8224374495560935,1019.0,1459.0,2061.0,3437.0,1.3403911590576172,3.041198253631592,3.05328369140625
180,4.748669385910034,15.571043491363525,1.0,0.6984235777930089,0.8224374495560935,1019.0,1459.0,2061.0,3437.0,1.118283987045288,2.9499282836914062,3.4297096729278564
190,5.6576502323150635,18.523762941360474,1.0,0.6976109215017064,0.8218737434660233,1022.0,1465.0,2063.0,3437.0,1.5797076225280762,3.3142669200897217,5.287050247192383
Average,4.896578872203827,12.733814799785614,1.0,0.7055999226956832,0.8273802382732093,969.9,1375.0,1986.1,3437.0,1.3311444997787476,2.7924990892410277,3.3375650525093077
